,hospital_id,date,高度急性期,急性期,回復期,慢性期,介護保険施設等
0,H00001,2021-08-01,0,0,0,11,0
1,H00001,2021-08-02,0,0,0,11,0
2,H00001,2021-08-03,0,0,0,11,0
3,H00001,2021-08-04,0,0,0,11,0
4,H00001,2021-08-05,0,0,0,11,0
5,H00001,2021-08-06,0,0,0,11,0
6,H00001,2021-08-07,0,0,0,11,0
7,H00001,2021-08-08,0,0,0,10,0
8,H00001,2021-08-09,0,0,0,10,0
9,H00001,2021-08-10,0,0,0,10,0
10,H00001,2021-08-11,0,0,0,11,0
11,H00001,2021-08-12,0,0,0,11,0
12,H00001,2021-08-13,0,0,0,11,0
13,H00001,2021-08-14,0,0,0,11,0
14,H00001,2021-08-15,0,0,0,11,0
15,H00001,2021-08-16,0,0,0,11,0
16,H00001,2021-08-17,0,0,0,11,0
17,H00001,2021-08-18,0,0,0,11,0
18,H00001,2021-08-19,0,0,0,11,0
19,H00001,2021-08-20,0,0,0,11,0
20,H00001,2021-08-21,0,0,0,11,0
21,H00002,2021-08-01,0,0,0,2,0
22,H00002,2021-08-02,0,0,0,2,0
23,H00002,2021-08-03,0,0,0,2,0
24,H00002,2021-08-04,0,0,0,2,0
25,H00002,2021-08-05,0,0,0,2,0
26,H00002,2021-08-06,0,0,0,2,0
27,H00002,2021-08-07,0,0,0,2,0
28,H00002,2021-08-08,0,0,0,2,0
29,H00002,2021-08-09,0,0,0,1,0
30,H00002,2021-08-10,0,0,0,1,0
31,H00002,2021-08-11,0,0,0,2,0
32,H00002,2021-08-12,0,0,0,2,0
33,H00002,2021-08-13,0,0,0,2,0
34,H00002,2021-08-14,0,0,0,2,0
35,H00002,2021-08-15,0,0,0,2,0
36,H00002,2021-08-16,0,0,0,2,0
37,H00002,2021-08-17,0,0,0,2,0
38,H00002,2021-08-18,0,0,0,2,0
39,H00002,2021-08-19,0,0,0,2,0
40,H00002,2021-08-20,0,0,0,2,0
41,H00002,2021-08-21,0,0,0,2,0
42,H00003,2021-08-01,87,1,0,0,0
43,H00003,2021-08-02,87,1,0,0,0
44,H00003,2021-08-03,87,1,0,0,0
45,H00003,2021-08-04,87,1,0,0,0
46,H00003,2021-08-05,87,1,0,0,0
47,H00003,2021-08-06,87,1,0,0,0
48,H00003,2021-08-07,87,1,0,0,0
49,H00003,2021-08-08,87,1,0,0,0
50,H00003,2021-08-09,87,1,0,0,0
51,H00003,2021-08-10,87,1,0,0,0
52,H00003,2021-08-11,87,1,0,0,0
53,H00003,2021-08-12,87,1,0,0,0
54,H00003,2021-08-13,87,1,0,0,0
55,H00003,2021-08-14,87,1,0,0,0
56,H00003,2021-08-15,87,1,0,0,0
57,H00003,2021-08-16,87,1,0,0,0
58,H00003,2021-08-17,87,1,0,0,0
59,H00003,2021-08-18,87,1,0,0,0
60,H00003,2021-08-19,87,1,0,0,0
61,H00003,2021-08-20,87,1,0,0,0
62,H00003,2021-08-21,87,1,0,0,0
63,H00004,2021-08-01,67,4,0,0,0
64,H00004,2021-08-02,67,4,0,0,0
65,H00004,2021-08-03,67,4,0,0,0
66,H00004,2021-08-04,67,4,0,0,0
67,H00004,2021-08-05,67,4,0,0,0
68,H00004,2021-08-06,67,4,0,0,0
69,H00004,2021-08-07,67,4,0,0,0
70,H00004,2021-08-08,67,4,0,0,0
71,H00004,2021-08-09,67,4,0,0,0
72,H00004,2021-08-10,67,4,0,0,0
73,H00004,2021-08-11,67,4,0,0,0
74,H00004,2021-08-12,67,4,0,0,0
75,H00004,2021-08-13,67,4,0,0,0
76,H00004,2021-08-14,67,4,0,0,0
77,H00004,2021-08-15,67,4,0,0,0
78,H00004,2021-08-16,67,4,0,0,0
79,H00004,2021-08-17,67,4,0,0,0
80,H00004,2021-08-18,67,4,0,0,0
81,H00004,2021-08-19,67,4,0,0,0
82,H00004,2021-08-20,67,4,0,0,0
83,H00004,2021-08-21,67,4,0,0,0
84,H00005,2021-08-01,0,1,0,0,0
85,H00005,2021-08-02,0,1,0,0,0
86,H00005,2021-08-03,0,1,0,0,0
87,H00005,2021-08-04,0,1,0,0,0
88,H00005,2021-08-05,0,1,0,0,0
89,H00005,2021-08-06,0,1,0,0,0
90,H00005,2021-08-07,0,1,0,0,0
91,H00005,2021-08-08,0,1,0,0,0
92,H00005,2021-08-09,0,1,0,0,0
93,H00005,2021-08-10,0,1,0,0,0
94,H00005,2021-08-11,0,1,0,0,0
95,H00005,2021-08-12,0,1,0,0,0
96,H00005,2021-08-13,0,1,0,0,0
97,H00005,2021-08-14,0,1,0,0,0
98,H00005,2021-08-15,0,1,0,0,0
99,H00005,2021-08-16,0,1,0,0,0
100,H00005,2021-08-17,0,1,0,0,0
101,H00005,2021-08-18,0,1,0,0,0
102,H00005,2021-08-19,0,1,0,0,0
103,H00005,2021-08-20,0,1,0,0,0
104,H00005,2021-08-21,0,1,0,0,0
105,H00006,2021-08-01,0,1,0,0,0
106,H00006,2021-08-02,0,1,0,0,0
107,H00006,2021-08-03,0,1,0,0,0
108,H00006,2021-08-04,0,1,0,0,0
109,H00006,2021-08-05,0,1,0,0,0
110,H00006,2021-08-06,0,1,0,0,0
111,H00006,2021-08-07,0,1,0,0,0
112,H00006,2021-08-08,0,1,0,0,0
113,H00006,2021-08-09,0,1,0,0,0
114,H00006,2021-08-10,0,1,0,0,0
115,H00006,2021-08-11,0,1,0,0,0
116,H00006,2021-08-12,0,1,0,0,0
117,H00006,2021-08-13,0,1,0,0,0
118,H00006,2021-08-14,0,1,0,0,0
119,H00006,2021-08-15,0,1,0,0,0
120,H00006,2021-08-16,0,1,0,0,0
121,H00006,2021-08-17,0,1,0,0,0
122,H00006,2021-08-18,0,1,0,0,0
123,H00006,2021-08-19,0,1,0,0,0
124,H00006,2021-08-20,0,1,0,0,0
125,H00006,2021-08-21,0,1,0,0,0
126,H00007,2021-08-01,0,0,0,4,0
127,H00007,2021-08-02,0,0,0,4,0
128,H00007,2021-08-03,0,0,0,4,0
129,H00007,2021-08-04,0,0,0,4,0
130,H00007,2021-08-05,0,0,0,4,0
131,H00007,2021-08-06,0,0,0,4,0
132,H00007,2021-08-07,0,0,0,3,0
133,H00007,2021-08-08,0,0,0,3,0
134,H00007,2021-08-09,0,0,0,3,0
135,H00007,2021-08-10,0,0,0,3,0
136,H00007,2021-08-11,0,0,0,4,0
137,H00007,2021-08-12,0,0,0,4,0
138,H00007,2021-08-13,0,0,0,4,0
139,H00007,2021-08-14,0,0,0,4,0
140,H00007,2021-08-15,0,0,0,4,0
141,H00007,2021-08-16,0,0,0,4,0
142,H00007,2021-08-17,0,0,0,4,0
143,H00007,2021-08-18,0,0,0,4,0
144,H00007,2021-08-19,0,0,0,4,0
145,H00007,2021-08-20,0,0,0,4,0
146,H00007,2021-08-21,0,0,0,4,0
147,H00008,2021-08-01,0,0,16,0,0
148,H00008,2021-08-02,0,0,16,0,0
149,H00008,2021-08-03,0,0,16,0,0
150,H00008,2021-08-04,0,0,16,0,0
151,H00008,2021-08-05,0,0,16,0,0
152,H00008,2021-08-06,0,0,16,0,0
153,H00008,2021-08-07,0,0,16,0,0
154,H00008,2021-08-08,0,0,16,0,0
155,H00008,2021-08-09,0,0,16,0,0
156,H00008,2021-08-10,0,0,16,0,0
157,H00008,2021-08-11,0,0,16,0,0
158,H00008,2021-08-12,0,0,16,0,0
159,H00008,2021-08-13,0,0,16,0,0
160,H00008,2021-08-14,0,0,16,0,0
161,H00008,2021-08-15,0,0,16,0,0
162,H00008,2021-08-16,0,0,16,0,0
163,H00008,2021-08-17,0,0,16,0,0
164,H00008,2021-08-18,0,0,16,0,0
165,H00008,2021-08-19,0,0,16,0,0
166,H00008,2021-08-20,0,0,16,0,0
167,H00008,2021-08-21,0,0,16,0,0
168,H00009,2021-08-01,0,54,0,0,0
169,H00009,2021-08-02,0,54,0,0,0
170,H00009,2021-08-03,0,54,0,0,0
171,H00009,2021-08-04,0,54,0,0,0
172,H00009,2021-08-05,0,54,0,0,0
173,H00009,2021-08-06,0,54,0,0,0
174,H00009,2021-08-07,0,54,0,0,0
175,H00009,2021-08-08,0,54,0,0,0
176,H00009,2021-08-09,0,54,0,0,0
177,H00009,2021-08-10,0,54,0,0,0
178,H00009,2021-08-11,0,54,0,0,0
179,H00009,2021-08-12,0,54,0,0,0
180,H00009,2021-08-13,0,54,0,0,0
181,H00009,2021-08-14,0,54,0,0,0
182,H00009,2021-08-15,0,54,0,0,0
183,H00009,2021-08-16,0,54,0,0,0
184,H00009,2021-08-17,0,54,0,0,0
185,H00009,2021-08-18,0,54,0,0,0
186,H00009,2021-08-19,0,54,0,0,0
187,H00009,2021-08-20,0,54,0,0,0
188,H00009,2021-08-21,0,54,0,0,0
189,H00010,2021-08-01,3,31,1,0,0
190,H00010,2021-08-02,3,31,1,0,0
191,H00010,2021-08-03,3,31,1,0,0
192,H00010,2021-08-04,3,31,1,0,0
193,H00010,2021-08-05,3,31,1,0,0
194,H00010,2021-08-06,3,31,1,0,0
195,H00010,2021-08-07,3,31,1,0,0
196,H00010,2021-08-08,3,31,1,0,0
197,H00010,2021-08-09,3,31,1,0,0
198,H00010,2021-08-10,3,31,1,0,0
199,H00010,2021-08-11,3,31,1,0,0
200,H00010,2021-08-12,3,31,1,0,0
201,H00010,2021-08-13,3,31,1,0,0
202,H00010,2021-08-14,3,31,1,0,0
203,H00010,2021-08-15,3,31,1,0,0
204,H00010,2021-08-16,3,31,1,0,0
205,H00010,2021-08-17,3,31,1,0,0
206,H00010,2021-08-18,3,31,1,0,0
207,H00010,2021-08-19,3,31,1,0,0
208,H00010,2021-08-20,3,31,1,0,0
209,H00010,2021-08-21,3,31,1,0,0
210,H00011,2021-08-01,0,7,0,0,0
211,H00011,2021-08-02,0,7,0,0,0
212,H00011,2021-08-03,0,7,0,0,0
213,H00011,2021-08-04,0,7,0,0,0
214,H00011,2021-08-05,0,7,0,0,0
215,H00011,2021-08-06,0,7,0,0,0
216,H00011,2021-08-07,0,7,0,0,0
217,H00011,2021-08-08,0,7,0,0,0
218,H00011,2021-08-09,0,7,0,0,0
219,H00011,2021-08-10,0,7,0,0,0
220,H00011,2021-08-11,0,7,0,0,0
221,H00011,2021-08-12,0,7,0,0,0
222,H00011,2021-08-13,0,7,0,0,0
223,H00011,2021-08-14,0,7,0,0,0
224,H00011,2021-08-15,0,7,0,0,0
225,H00011,2021-08-16,0,7,0,0,0
226,H00011,2021-08-17,0,7,0,0,0
227,H00011,2021-08-18,0,7,0,0,0
228,H00011,2021-08-19,0,7,0,0,0
229,H00011,2021-08-20,0,7,0,0,0
230,H00011,2021-08-21,0,7,0,0,0
231,H00012,2021-08-01,5,26,0,0,0
232,H00012,2021-08-02,5,26,0,0,0
233,H00012,2021-08-03,5,26,0,0,0
234,H00012,2021-08-04,5,26,0,0,0
235,H00012,2021-08-05,5,26,0,0,0
236,H00012,2021-08-06,5,26,0,0,0
237,H00012,2021-08-07,5,26,0,0,0
238,H00012,2021-08-08,5,26,0,0,0
239,H00012,2021-08-09,5,26,0,0,0
240,H00012,2021-08-10,5,26,0,0,0
241,H00012,2021-08-11,5,26,0,0,0
242,H00012,2021-08-12,5,26,0,0,0
243,H00012,2021-08-13,5,26,0,0,0
244,H00012,2021-08-14,5,26,0,0,0
245,H00012,2021-08-15,5,26,0,0,0
246,H00012,2021-08-16,5,26,0,0,0
247,H00012,2021-08-17,5,26,0,0,0
248,H00012,2021-08-18,5,26,0,0,0
249,H00012,2021-08-19,5,26,0,0,0
250,H00012,2021-08-20,5,26,0,0,0
251,H00012,2021-08-21,5,26,0,0,0
252,H00013,2021-08-01,0,7,0,9,0
253,H00013,2021-08-02,0,7,0,9,0
254,H00013,2021-08-03,0,7,0,9,0
255,H00013,2021-08-04,0,7,0,9,0
256,H00013,2021-08-05,0,7,0,9,0
257,H00013,2021-08-06,0,7,0,9,0
258,H00013,2021-08-07,0,7,0,9,0
259,H00013,2021-08-08,0,7,0,8,0
260,H00013,2021-08-09,0,7,0,7,0
261,H00013,2021-08-10,0,7,0,6,0
262,H00013,2021-08-11,0,7,0,9,0
263,H00013,2021-08-12,0,7,0,9,0
264,H00013,2021-08-13,0,7,0,9,0
265,H00013,2021-08-14,0,7,0,9,0
266,H00013,2021-08-15,0,7,0,9,0
267,H00013,2021-08-16,0,7,0,9,0
268,H00013,2021-08-17,0,7,0,9,0
269,H00013,2021-08-18,0,7,0,9,0
270,H00013,2021-08-19,0,7,0,9,0
271,H00013,2021-08-20,0,7,0,9,0
272,H00013,2021-08-21,0,7,0,9,0
273,H00014,2021-08-01,0,60,20,0,0
274,H00014,2021-08-02,0,60,20,0,0
275,H00014,2021-08-03,0,60,20,0,0
276,H00014,2021-08-04,0,60,20,0,0
277,H00014,2021-08-05,0,60,20,0,0
278,H00014,2021-08-06,0,60,20,0,0
279,H00014,2021-08-07,0,60,20,0,0
280,H00014,2021-08-08,0,60,20,0,0
281,H00014,2021-08-09,0,60,20,0,0
282,H00014,2021-08-10,0,60,20,0,0
283,H00014,2021-08-11,0,60,20,0,0
284,H00014,2021-08-12,0,60,20,0,0
285,H00014,2021-08-13,0,60,20,0,0
286,H00014,2021-08-14,0,60,20,0,0
287,H00014,2021-08-15,0,60,20,0,0
288,H00014,2021-08-16,0,60,20,0,0
289,H00014,2021-08-17,0,60,20,0,0
290,H00014,2021-08-18,0,60,20,0,0
291,H00014,2021-08-19,0,60,20,0,0
292,H00014,2021-08-20,0,60,20,0,0
293,H00014,2021-08-21,0,60,20,0,0
294,H00015,2021-08-01,0,0,0,36,0
295,H00015,2021-08-02,0,0,0,36,0
296,H00015,2021-08-03,0,0,0,36,0
297,H00015,2021-08-04,0,0,0,36,0
298,H00015,2021-08-05,0,0,0,36,0
299,H00015,2021-08-06,0,0,0,35,0
300,H00015,2021-08-07,0,0,0,29,0
301,H00015,2021-08-08,0,0,0,28,0
302,H00015,2021-08-09,0,0,0,24,0
303,H00015,2021-08-10,0,0,0,20,0
304,H00015,2021-08-11,0,0,0,36,0
305,H00015,2021-08-12,0,0,0,36,0
306,H00015,2021-08-13,0,0,0,36,0
307,H00015,2021-08-14,0,0,0,36,0
308,H00015,2021-08-15,0,0,0,36,0
309,H00015,2021-08-16,0,0,0,36,0
310,H00015,2021-08-17,0,0,0,36,0
311,H00015,2021-08-18,0,0,0,36,0
312,H00015,2021-08-19,0,0,0,36,0
313,H00015,2021-08-20,0,0,0,36,0
314,H00015,2021-08-21,0,0,0,36,0
315,H00016,2021-08-01,0,0,1,0,0
316,H00016,2021-08-02,0,0,1,0,0
317,H00016,2021-08-03,0,0,1,0,0
318,H00016,2021-08-04,0,0,1,0,0
319,H00016,2021-08-05,0,0,1,0,0
320,H00016,2021-08-06,0,0,1,0,0
321,H00016,2021-08-07,0,0,1,0,0
322,H00016,2021-08-08,0,0,1,0,0
323,H00016,2021-08-09,0,0,1,0,0
324,H00016,2021-08-10,0,0,1,0,0
325,H00016,2021-08-11,0,0,1,0,0
326,H00016,2021-08-12,0,0,1,0,0
327,H00016,2021-08-13,0,0,1,0,0
328,H00016,2021-08-14,0,0,1,0,0
329,H00016,2021-08-15,0,0,1,0,0
330,H00016,2021-08-16,0,0,1,0,0
331,H00016,2021-08-17,0,0,1,0,0
332,H00016,2021-08-18,0,0,1,0,0
333,H00016,2021-08-19,0,0,1,0,0
334,H00016,2021-08-20,0,0,1,0,0
335,H00016,2021-08-21,0,0,1,0,0
336,H00017,2021-08-01,0,24,12,0,0
337,H00017,2021-08-02,0,24,12,0,0
338,H00017,2021-08-03,0,24,12,0,0
339,H00017,2021-08-04,0,24,12,0,0
340,H00017,2021-08-05,0,24,12,0,0
341,H00017,2021-08-06,0,24,12,0,0
342,H00017,2021-08-07,0,24,12,0,0
343,H00017,2021-08-08,0,24,12,0,0
344,H00017,2021-08-09,0,24,12,0,0
345,H00017,2021-08-10,0,24,12,0,0
346,H00017,2021-08-11,0,24,12,0,0
347,H00017,2021-08-12,0,24,12,0,0
348,H00017,2021-08-13,0,24,12,0,0
349,H00017,2021-08-14,0,24,12,0,0
350,H00017,2021-08-15,0,24,12,0,0
351,H00017,2021-08-16,0,24,12,0,0
352,H00017,2021-08-17,0,24,12,0,0
353,H00017,2021-08-18,0,24,12,0,0
354,H00017,2021-08-19,0,24,12,0,0
355,H00017,2021-08-20,0,24,12,0,0
356,H00017,2021-08-21,0,24,12,0,0
357,H00018,2021-08-01,0,0,9,9,0
358,H00018,2021-08-02,0,0,9,9,0
359,H00018,2021-08-03,0,0,9,9,0
360,H00018,2021-08-04,0,0,9,9,0
361,H00018,2021-08-05,0,0,9,9,0
362,H00018,2021-08-06,0,0,9,9,0
363,H00018,2021-08-07,0,0,9,6,0
364,H00018,2021-08-08,0,0,9,6,0
365,H00018,2021-08-09,0,0,9,6,0
366,H00018,2021-08-10,0,0,9,6,0
367,H00018,2021-08-11,0,0,9,9,0
368,H00018,2021-08-12,0,0,9,9,0
369,H00018,2021-08-13,0,0,9,9,0
370,H00018,2021-08-14,0,0,9,9,0
371,H00018,2021-08-15,0,0,9,9,0
372,H00018,2021-08-16,0,0,9,9,0
373,H00018,2021-08-17,0,0,9,9,0
374,H00018,2021-08-18,0,0,9,9,0
375,H00018,2021-08-19,0,0,9,9,0
376,H00018,2021-08-20,0,0,9,9,0
377,H00018,2021-08-21,0,0,9,9,0
378,H00019,2021-08-01,0,9,2,0,0
379,H00019,2021-08-02,0,9,2,0,0
380,H00019,2021-08-03,0,9,2,0,0
381,H00019,2021-08-04,0,9,2,0,0
382,H00019,2021-08-05,0,9,2,0,0
383,H00019,2021-08-06,0,9,2,0,0
384,H00019,2021-08-07,0,9,2,0,0
385,H00019,2021-08-08,0,9,2,0,0
386,H00019,2021-08-09,0,9,2,0,0
387,H00019,2021-08-10,0,9,2,0,0
388,H00019,2021-08-11,0,9,2,0,0
389,H00019,2021-08-12,0,9,2,0,0
390,H00019,2021-08-13,0,9,2,0,0
391,H00019,2021-08-14,0,9,2,0,0
392,H00019,2021-08-15,0,9,2,0,0
393,H00019,2021-08-16,0,9,2,0,0
394,H00019,2021-08-17,0,9,2,0,0
395,H00019,2021-08-18,0,9,2,0,0
396,H00019,2021-08-19,0,9,2,0,0
397,H00019,2021-08-20,0,9,2,0,0
398,H00019,2021-08-21,0,9,2,0,0
399,H00020,2021-08-01,0,5,0,10,0
400,H00020,2021-08-02,0,5,0,10,0
401,H00020,2021-08-03,0,5,0,10,0
402,H00020,2021-08-04,0,5,0,10,0
403,H00020,2021-08-05,0,5,0,10,0
404,H00020,2021-08-06,0,5,0,9,0
405,H00020,2021-08-07,0,5,0,9,0
406,H00020,2021-08-08,0,5,0,9,0
407,H00020,2021-08-09,0,5,0,9,0
408,H00020,2021-08-10,0,5,0,9,0
409,H00020,2021-08-11,0,5,0,10,0
410,H00020,2021-08-12,0,5,0,10,0
411,H00020,2021-08-13,0,5,0,10,0
412,H00020,2021-08-14,0,5,0,10,0
413,H00020,2021-08-15,0,5,0,10,0
414,H00020,2021-08-16,0,5,0,10,0
415,H00020,2021-08-17,0,5,0,10,0
416,H00020,2021-08-18,0,5,0,10,0
417,H00020,2021-08-19,0,5,0,10,0
418,H00020,2021-08-20,0,5,0,10,0
419,H00020,2021-08-21,0,5,0,10,0
420,H00021,2021-08-01,0,15,0,0,0
421,H00021,2021-08-02,0,15,0,0,0
422,H00021,2021-08-03,0,15,0,0,0
423,H00021,2021-08-04,0,15,0,0,0
424,H00021,2021-08-05,0,15,0,0,0
425,H00021,2021-08-06,0,15,0,0,0
426,H00021,2021-08-07,0,15,0,0,0
427,H00021,2021-08-08,0,15,0,0,0
428,H00021,2021-08-09,0,15,0,0,0
